,Real,Predicted
2017-06-30,329767.0,326717.78
2017-07-31,330217.0,326766.6
2017-08-31,329945.0,326855.5
2017-09-30,330101.99999999994,326992.38
2017-10-31,330595.0,327208.3
2017-11-30,332416.0,327488.28
2017-12-31,334269.0,327848.03
2018-01-31,336337.0,328239.8
2018-02-28,337710.0,328621.9
2018-03-31,339150.0,328963.8
2018-04-30,340756.0,329236.2
2018-05-31,342913.0,329442.34
2018-06-30,345328.0,329604.1
2018-07-31,347833.0,329758.6
2018-08-31,350327.0,329937.75
2018-09-30,352518.0,330171.2
2018-10-31,354854.0,330445.8
2018-11-30,357045.0,330750.25
2018-12-31,359398.0,331041.53
2019-01-31,361130.0,331320.38
2019-02-28,363096.0,331582.66
2019-03-31,364894.99999999994,331850.3
2019-04-30,367125.0,332121.97
2019-05-31,368998.0,332393.03
2019-06-30,370843.0,332649.5
2019-07-31,372736.0,332885.78
2019-08-31,374857.0,333100.72
2019-09-30,376905.0,333295.2
2019-10-31,378333.0,333476.03
2019-11-30,379000.0,333640.8
2019-12-31,379055.0,333793.47
2020-01-31,379066.0,333932.22
2020-02-29,378842.0,334068.8
