,Real,Predicted Rent
2017-07,1795.0,1738.7964
2017-08,1799.0,1739.5696
2017-09,1795.0,1740.2051
2017-10,1800.0,1740.8303
2017-11,1725.0,1741.4497
2017-12,1700.0,1742.1544
2018-01,1700.0,1742.734
2018-02,1700.0,1743.158
2018-03,1695.0,1743.5789
2018-04,1750.0,1744.0092
2018-05,1800.0,1744.425
2018-06,1800.0,1744.723
2018-07,1825.0,1744.9983
2018-08,1850.0,1745.2781
2018-09,1850.0,1745.6138
2018-10,1800.0,1746.0184
2018-11,1775.0,1746.4543
2018-12,1750.0,1746.9095
2019-01,1750.0,1747.4022
2019-02,1795.0,1747.9703
2019-03,1795.0,1748.5587
2019-04,1776.0,1749.1929
2019-05,1850.0,1749.8593
2019-06,1880.0,1750.472
2019-07,1875.0,1751.0245
2019-08,1894.9999999999998,1751.5417
2019-09,1889.9999999999998,1752.0878
2019-10,1899.9999999999998,1752.5895
2019-11,1800.0,1753.0133
2019-12,1800.0,1753.4083
