,Real,Predicted
2017-06-30,75538.0,74751.29
2017-07-31,76046.0,75311.086
2017-08-31,76924.0,75844.49
2017-09-30,77797.0,76346.086
2017-10-31,78617.0,76835.15
2017-11-30,79161.0,77333.43
2017-12-31,79829.0,77846.65
2018-01-31,80269.0,78347.41
2018-02-28,80409.0,78828.85
2018-03-31,80456.0,79272.3
2018-04-30,81041.0,79677.414
2018-05-31,81948.99999999999,80055.516
2018-06-30,82545.0,80425.02
2018-07-31,83022.0,80780.57
2018-08-31,83497.0,81122.27
2018-09-30,84360.0,81436.09
2018-10-31,84602.0,81730.984
2018-11-30,85160.0,82005.16
2018-12-31,85282.0,82271.58
2019-01-31,86360.0,82519.5
2019-02-28,87147.0,82767.7
2019-03-31,88381.0,83027.47
2019-04-30,88914.0,83308.37
2019-05-31,89485.0,83586.31
2019-06-30,90030.00000000001,83849.69
2019-07-31,90716.99999999999,84106.16
2019-08-31,91135.0,84358.73
2019-09-30,91256.0,84603.28
2019-10-31,91958.0,84823.92
2019-11-30,92577.0,85041.57
2019-12-31,93383.0,85248.03
2020-01-31,93500.0,85457.32
2020-02-29,93963.0,85641.04
