,Real,Predicted Rent
2017-05,1400.0,1413.3087
2017-06,1450.0,1415.6661
2017-07,1450.0,1417.3777
2017-08,1430.0,1418.6769
2017-09,1399.0,1420.2284
2017-10,1375.0,1421.9503
2017-11,1375.0,1423.6239
2017-12,1399.0,1424.738
2018-01,1400.0,1425.4742
2018-02,1400.0,1426.1166
2018-03,1415.0,1427.1028
2018-04,1460.0,1428.4955
2018-05,1489.0,1429.9789
2018-06,1497.0,1431.3259
2018-07,1474.9999999999998,1432.4313
2018-08,1478.9999999999998,1433.3778
2018-09,1474.9999999999998,1434.2888
2018-10,1478.9999999999998,1435.2809
2018-11,1495.0,1436.545
2018-12,1500.0,1438.3555
2019-01,1490.4999999999998,1440.533
2019-02,1500.0,1442.5273
2019-03,1575.0,1444.1332
2019-04,1579.0,1445.0961
2019-05,1599.0000000000002,1446.1512
2019-06,1629.0,1447.0936
2019-07,1644.0,1448.5569
2019-08,1635.0,1450.0409
2019-09,1625.0,1451.4132
2019-10,1610.0,1452.1232
2019-11,1600.0,1452.6692
2019-12,1600.0,1453.1396
