,Real,Predicted
2017-04-30,241804.0,235600.78
2017-05-31,243144.0,236502.89
2017-06-30,244285.0,237397.6
2017-07-31,245673.0,238354.72
2017-08-31,247324.0,239301.94
2017-09-30,248240.0,240154.39
2017-10-31,249118.00000000003,240881.81
2017-11-30,250226.0,241609.16
2017-12-31,252203.0,242297.44
2018-01-31,253599.99999999997,242995.62
2018-02-28,254677.0,243654.62
2018-03-31,256080.00000000003,244212.89
2018-04-30,258086.00000000003,244820.77
2018-05-31,260119.0,245510.27
2018-06-30,262173.0,246258.95
2018-07-31,264373.0,246911.88
2018-08-31,265954.0,247583.92
2018-09-30,266113.0,248352.28
2018-10-31,265777.0,249165.11
2018-11-30,266402.0,249900.89
2018-12-31,267709.0,250526.39
2019-01-31,269725.0,251006.56
2019-02-28,271099.0,251282.53
2019-03-31,271928.0,251416.3
2019-04-30,272148.0,251627.36
2019-05-31,272179.0,252027.8
2019-06-30,272752.0,252498.98
2019-07-31,272884.0,252936.72
2019-08-31,273319.0,253204.72
2019-09-30,275204.0,253352.2
2019-10-31,277422.0,253439.38
2019-11-30,278860.0,253563.69
2019-12-31,279338.0,253779.62
2020-01-31,279455.0,254034.9
2020-02-29,280155.0,254413.23
