,Real,Predicted Rent
2017-05,1800.0,1764.3866
2017-06,1800.0,1766.0706
2017-07,1795.0,1767.43
2017-08,1799.0,1768.1962
2017-09,1795.0,1769.0256
2017-10,1800.0,1770.0135
2017-11,1725.0,1771.0768
2017-12,1700.0,1771.6488
2018-01,1700.0,1772.0454
2018-02,1700.0,1772.3175
2018-03,1695.0,1772.6869
2018-04,1750.0,1773.2573
2018-05,1800.0,1773.8646
2018-06,1800.0,1774.4292
2018-07,1825.0,1775.0344
2018-08,1850.0,1775.9149
2018-09,1850.0,1776.8573
2018-10,1800.0,1778.0171
2018-11,1775.0,1779.3976
2018-12,1750.0,1780.6193
2019-01,1750.0,1781.6392
2019-02,1795.0,1782.5732
2019-03,1795.0,1783.7899
2019-04,1776.0,1784.9722
2019-05,1850.0,1785.9218
2019-06,1880.0,1786.8584
2019-07,1875.0,1787.9102
2019-08,1894.9999999999998,1789.1265
2019-09,1889.9999999999998,1789.7695
2019-10,1899.9999999999998,1789.79
2019-11,1800.0,1789.5577
2019-12,1800.0,1789.7316
