,Real,Predicted
2017-03-31,193722.0,192963.0
2017-04-30,195779.0,194207.78
2017-05-31,197555.0,195575.48
2017-06-30,199340.0,197046.22
2017-07-31,200560.0,198492.5
2017-08-31,201733.0,199734.19
2017-09-30,201574.0,200826.08
2017-10-31,202433.0,201565.33
2017-11-30,203417.0,202073.69
2017-12-31,205586.0,202230.98
2018-01-31,207520.0,202892.03
2018-02-28,209532.0,203791.92
2018-03-31,211786.0,205084.78
2018-04-30,213850.0,206265.3
2018-05-31,215895.0,207459.27
2018-06-30,218057.0,208661.0
2018-07-31,220315.0,209752.6
2018-08-31,222165.0,210815.19
2018-09-30,224787.0,211870.8
2018-10-31,226044.0,212888.11
2018-11-30,227990.0,213794.0
2018-12-31,228952.99999999997,214751.34
2019-01-31,231078.99999999997,215344.53
2019-02-28,232503.00000000003,216035.75
2019-03-31,233784.0,216547.64
2019-04-30,234700.0,217272.39
2019-05-31,235316.00000000003,217776.9
2019-06-30,235771.99999999997,218194.0
2019-07-31,236465.00000000003,218484.1
2019-08-31,237304.0,218689.36
2019-09-30,238233.0,218878.58
2019-10-31,239604.99999999997,219136.22
2019-11-30,240252.0,219441.17
2019-12-31,240856.99999999997,219783.39
2020-01-31,240607.00000000003,220159.11
2020-02-29,240755.0,220347.14
