,Real,Predicted Rent
2017-06,1150.0,1041.3551
2017-07,1127.0,1045.4662
2017-08,1109.5,1049.2837
2017-09,1100.0,1052.4222
2017-10,1105.0,1055.0146
2017-11,1099.0,1057.697
2017-12,1075.0,1060.8676
2018-01,1080.0,1064.5491
2018-02,1100.0,1068.3165
2018-03,1179.5,1071.8462
2018-04,1170.0,1074.7285
2018-05,1149.5,1077.1968
2018-06,1179.0,1079.211
2018-07,1187.0,1080.8607
2018-08,1200.0,1082.2671
2018-09,1210.0,1084.2839
2018-10,1191.0,1087.1093
2018-11,1183.0,1089.9753
2018-12,1200.0,1092.3411
2019-01,1190.0,1094.3383
2019-02,1200.0,1096.4525
2019-03,1219.0,1098.5946
2019-04,1225.0,1100.672
2019-05,1230.0,1103.2
2019-06,1265.0,1105.9254
2019-07,1269.0,1109.0784
2019-08,1255.0,1111.8416
2019-09,1235.0,1114.3094
2019-10,1245.0,1116.0636
2019-11,1234.0,1117.7472
2019-12,1227.0,1119.4276
