,RegionID,Bedroom,RegionName,RegionType,StateName,State,Metro,CountyName,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
2,39051,1,Houston,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,67653,67444,67260,67041,66721,66084,65187,64471,64045,63894,63800,63651,63342,62769,62075,61670,61609,61770,62065,62317,62517,62639,62636,62769,62829,63131,63442,63538,63419,63376,63527,63695,63872,64132,64404,64616,64964,65405,66197,67201,68282,69075,69828,70632,71554,72275,73054,73666,74422,75160,75576,76047,76451,77270,78094,79094,80001,80808,81668,82763,83791,84496,85391,86103,86978,87477,87814,88266,88828,89718,89997,90093,90467,91227,91990,92460,92938,93633,94544,94881,94970,95050,95892,96789,97146,97380,97511,97738,97789,97965,98072,98264,98261,98300,98429,98793,99232,99434,99702,100296,100960,101299,101623,101855,102559,102767,103192,103437,104090,104592,104751,104701,104701,104937,105155,105502,105618,106083,106186,106299,106161,106271,106635
4,6915,1,San Antonio,City,TX,TX,San Antonio-New Braunfels,Bexar County,61988,61888,61742,61448,61283,61251,61421,61736,61863,61554,60951,60455,59936,59471,58934,58507,57832,57143,56626,56455,56331,56213,56017,55721,55470,55060,54733,54545,54740,55098,54941,54378,53824,54005,54458,54888,55071,55489,56118,56705,56714,56404,56556,57335,58087,58350,58324,58599,59107,59307,59163,59002,59520,60551,61455,61621,61682,61587,62147,62405,62956,63609,64469,65065,65475,65485,65226,65186,65604,66544,66732,67079,67027,67292,67474,67901,68263,68921,69850,70617,71071,71292,71964,72648,73510,74201,74728,75048,75538,76046,76924,77797,78617,79161,79829,80269,80409,80456,81041,81949,82545,83022,83497,84360,84602,85160,85282,86360,87147,88381,88914,89485,90030,90717,91135,91256,91958,92577,93383,93500,93963,94115,94557
9,38128,1,Dallas,City,TX,TX,Dallas-Fort Worth-Arlington,Dallas County,70689,70262,69747,69430,69072,68922,68414,67925,67191,66876,66376,65997,65766,65371,64968,64274,63616,63054,62473,62645,62896,63264,63203,62989,62746,62765,62902,63024,63169,63431,64153,64358,64383,64101,64208,64676,65259,65777,66210,66830,67640,68339,69277,70010,70938,71548,72170,72460,72787,73323,73918,74329,74271,74452,73790,74002,74067,74933,75479,76125,76791,77289,77910,78713,79883,80897,82189,82936,83646,84196,84917,85823,86329,86975,87672,88717,89810,90833,92154,93336,95022,96439,98044,99333,100458,101514,102497,103882,105288,106640,107756,108093,108400,108824,110093,111688,113662,115603,117255,118321,119430,120586,121314,122510,121983,121634,120769,121825,123232,124713,125439,126060,126448,127201,128243,129296,131491,133499,135324,135456,135102,134699,135080
10,10221,1,Austin,City,TX,TX,Austin-Round Rock,Travis County,160583,159888,159707,159591,159835,159623,159166,158636,158466,158350,157757,157012,156449,156013,155485,154936,154095,153722,153636,154223,154447,154409,154306,154322,154974,155788,156949,157885,158912,160082,161244,162325,163076,163855,164406,165871,167065,168711,169883,172032,174073,175853,177271,178324,180074,182013,184540,186031,187481,188497,190171,191645,193365,194738,195856,197274,199148,201097,202478,203631,205005,206683,208125,208949,209849,211330,213942,216302,217819,218675,219926,221954,224167,225799,226936,227988,229015,230056,230799,231584,232592,234389,236337,237844,238215,238635,239721,241375,242778,243328,243693,244157,245234,246085,247051,247890,248814,249675,250270,250556,251009,252455,254088,255843,256302,257525,257701,259042,260318,262587,263312,263883,264106,264684,265207,265589,266687,267187,268417,268891,269627,269656,270911
16,18172,1,Fort Worth,City,TX,TX,Dallas-Fort Worth-Arlington,Tarrant County,104317,104317,103408,102882,102607,103130,102439,102441,102267,102286,101258,99925,98590,97103,96365,95313,94436,93040,93200,92958,92922,92097,92009,91586,91904,91423,91153,90652,91688,92763,93672,93352,92961,92574,93218,93937,94934,96468,98060,99491,99748,100331,100955,102607,104329,106198,106503,107163,107455,108338,108960,109517,110087,110822,111464,112660,113174,114279,115782,116929,117925,118289,119254,120767,122563,123863,124986,125404,126321,126786,127222,128316,129053,130448,130841,131544,132008,132674,133564,134312,135565,136697,138540,139873,141027,141800,142895,144020,145247,146638,147888,148979,150238,152289,153803,154827,155849,157127,158607,159515,160182,160641,161069,161348,162097,163808,166049,167855,168554,168622,168229,168009,168378,168865,169324,170025,170136,169141,167850,167262,167579,168277,169143
21,17933,1,El Paso,City,TX,TX,El Paso,El Paso County,88924,88626,88790,88763,89081,88620,88367,88345,89384,90225,90520,89875,89388,89340,89644,90055,89967,89856,89852,89605,88866,87901,87468,87524,87422,87012,86206,85419,84917,85216,85504,85586,85266,84817,84444,84402,84509,85076,85116,85084,84910,84574,83876,83026,82571,82384,82163,81433,81130,80495,80776,80261,79954,79124,79067,79591,80015,80276,80041,79956,79689,79525,79065,79375,79644,80199,80126,79789,79431,79112,78980,78932,78797,78803,78741,78640,78410,78098,78156,78241,78551,78803,79414,80270,80877,81181,81385,81853,82091,82071,81562,81456,81414,81794,82078,82320,82538,82570,82408,81933,81938,82547,83319,83922,84583,85297,85638,85912,86321,86986,87494,88153,88773,89064,89416,89724,89930,89913,90172,90460,90702,90889,91309
51,50763,1,Arlington,City,TX,TX,Dallas-Fort Worth-Arlington,Tarrant County,62513,62503,62145,61580,61079,61024,60547,59863,58962,58313,57668,57156,56580,56061,55362,54554,53986,53484,53529,53499,53816,53246,52939,52509,52835,52646,52380,52004,51918,51784,51723,51804,52003,52219,52340,52408,51870,51835,52215,53072,53388,53901,54026,54772,55088,56247,56815,57269,57692,58142,58691,58664,58954,59118,59423,59096,58980,58876,59314,59444,59705,59699,60012,60802,61631,62023,62370,62733,63236,63005,62477,62683,63231,64440,64870,64833,64545,64487,64997,65279,65604,66005,67237,68482,68793,68118,67591,67930,68784,70114,71142,72424,73389,75018,76000,76843,77883,79759,81753,82565,83025,83541,84483,85683,86563,88262,89903,91787,92876,92834,92827,93597,95152,96147,96888,97412,98538,98694,99220,99718,101122,103310,105490
66,38025,1,Corpus Christi,City,TX,TX,Corpus Christi,Nueces County,82074,81447,80664,80889,80729,80837,80798,80952,80377,79208,77914,77433,78106,78405,78433,77091,76814,76093,75776,74680,74862,75544,76353,75924,74734,73733,74265,75067,74988,74442,74444,75352,75545,75154,74661,74933,75623,76789,76397,76630,76722,77555,77339,76730,76233,76315,76480,77363,77617,77775,77896,77833,78074,78593,79924,81531,83415,85557,87648,88474,88881,88915,89327,90152,91078,92067,92215,92239,91916,91600,91443,91010,91607,92213,93838,95100,96019,96432,96576,96834,96773,96973,97091,98458,98918,99543,99021,98367,97985,97541,97887,97027,96972,96246,96538,96114,96003,95666,94810,93744,92928,93321,94473,96353,96941,97229,96254,95542,94656,94412,95614,97575,99122,99595,99307,99104,99661,100811,102571,104352,106359,107996,108996
79,53915,1,Plano,City,TX,TX,Dallas-Fort Worth-Arlington,Collin County,108873,108354,108093,107466,106969,106200,105719,104423,103182,101440,99995,98852,97894,97583,97003,96817,96924,97630,98388,98975,99512,100951,101878,102613,102588,102930,103506,103602,103155,102057,100974,100812,101049,101243,101434,102042,103574,104375,105023,105719,106853,108146,109419,110222,110915,111247,112633,113051,113288,113297,113864,114702,115499,116447,117778,119179,120650,121824,122640,123605,124915,126827,129038,130897,132301,134180,135273,136746,137209,138420,138980,140742,141947,143646,144567,145825,147112,147852,149173,150092,151840,153962,156363,157990,159329,160200,160594,161120,161909,163471,164830,165942,167194,167448,168075,168414,168778,168856,170065,172013,174205,175749,176811,177866,178055,178204,178047,178362,178632,179191,179015,178464,177495,176692,176258,176034,176241,176851,177430,177910,178493,179113,179903
87,53060,1,Lubbock,City,TX,TX,Lubbock,Lubbock County,65802,65978,66314,66987,67815,67908,67986,67683,67848,67524,67188,66868,66806,66378,65876,65251,64679,64889,65240,65655,65809,65423,65151,64327,64180,64487,65224,65644,65281,64908,64237,63981,63573,63937,63938,64413,64622,64882,65163,64727,65288,64571,64833,64481,64554,64605,64867,65632,65851,65683,65100,65499,65509,66194,66082,66198,66221,65405,64930,63687,63002,62453,61718,60707,59359,58945,58815,58718,58726,59197,59725,60064,60237,60411,61012,62264,63680,64645,65262,65959,65890,65823,65738,66623,67402,67940,68187,68016,68256,68333,68716,68964,69489,70409,70816,71456,71828,72832,73639,74214,74528,74894,75120,75819,76749,77304,77656,77988,78928,79223,78806,78582,78665,79121,79627,79871,80037,80346,81188,81801,82229,82993,84602
105,52893,1,Laredo,City,TX,TX,Laredo,Webb County,99986,99934,99916,99845,99816,99777,99772,99674,99480,99254,99089,98886,98642,98429,98154,97957,97563,97280,96910,96802,96669,96668,96690,96790,96788,96740,96629,96660,96814,97115,97450,97591,97709,97832,98137,98579,99076,99565,100433,101408,102402,103163,103928,105040,106171,107125,107692,107498,107245,106897,106727,106394,106162,106067,106031,105706,105798,105953,106299,107479,109029,110874,111480,111870,112231,112970,113949,114629,114576,114293,114293,114332,114622,114306,114591,114933,115050,115786,116294,117627,118580,119762,121209,121908,121591,121864,123816,125877,128066,127052,126189,124666,125427,126489,126138,126535,127596,128931,127958,127267,126342,127211,127135,127603,127691,127229,127007,125849,125180,124278,124218,123620,123417,123210,123736,124069,123845,123926,124526,125731,126609,127585,128810
109,18251,1,Garland,City,TX,TX,Dallas-Fort Worth-Arlington,Dallas County,49679,50193,50946,50968,51395,51342,51530,51609,51432,51148,50594,49583,48898,48609,49115,50024,50493,50819,50431,50340,50499,50785,51340,52003,52338,52162,51023,50416,50061,50019,50040,50093,50302,50347,50620,50926,51696,52077,52483,52223,51905,51835,52366,53031,53577,53669,53288,52857,52601,53542,54696,55588,56111,56897,57280,57597,57103,57208,57535,58244,58708,58668,58768,59661,61104,62056,62490,62520,63647,65207,66492,67205,67618,68245,68631,68296,67731,67313,68027,69293,70326,70458,70669,71284,71873,71904,72120,73128,74571,75592,76612,76455,76301,75851,76832,77312,77631,78105,79194,80503,81839,82858,83564,84892,85899,87703,88240,89280,90700,91477,91681,90667,89700,89473,89197,88925,88889,88579,88475,88137,87601,87531,87501
110,7204,1,Spring,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,54159,53215,52607,52807,53353,53547,53421,52991,52584,51438,51023,50185,50532,50627,51225,51018,50641,50960,51417,52173,52203,52904,53403,54738,55655,56194,56161,55891,55572,54584,53534,52057,51791,52302,53088,52959,51868,51282,50672,51032,51480,52410,53008,54195,54371,54171,53338,53376,53769,54099,54721,54971,55381,55733,56590,57128,58104,58547,59468,59763,60639,61226,61675,62225,62905,63553,63911,64525,64988,65983,66311,66853,67024,67746,68825,69537,69686,69639,69830,70087,70263,70112,70472,71421,72349,72974,72863,73060,73544,74128,74657,74756,74907,75269,76268,76980,77697,77907,78764,79707,80892,81679,82340,83123,84517,85466,85917,86131,86711,87508,87898,88123,88293,88793,89402,90151,90444,91064,91668,92500,93108,93931,94948
116,12065,1,Irving,City,TX,TX,Dallas-Fort Worth-Arlington,Dallas County,73509,72804,72085,71502,70847,70438,69841,69377,68768,68231,67747,67392,67006,66427,65657,64708,63947,63018,62324,62259,62299,62229,61830,61666,61912,62274,62801,63177,63557,64167,65096,65515,65904,66074,66550,66945,67547,68138,68842,69630,70552,71111,71808,72900,74095,75394,76134,77007,77490,78134,78700,79128,79533,80537,80786,80961,80596,80967,81765,82612,83625,84403,85312,86389,87313,87930,88707,89161,89886,90118,90721,91232,91367,91730,91885,92340,92933,93684,94802,96336,98394,100649,102270,103513,104021,104365,104928,106447,108070,109779,111344,111576,111451,111211,112337,114118,116648,119443,121816,122954,124004,124659,125510,126720,128068,129947,131289,132441,133119,133853,134291,134785,135102,135973,136554,137389,138073,138285,138253,138020,137875,137483,137411
145,16753,1,Amarillo,City,TX,TX,Amarillo,Potter County,37847,38168,38628,38998,39586,39825,39789,39792,39903,40219,40349,40407,40381,40295,39928,39620,39310,39255,39247,39270,39289,39214,39214,39056,38803,38652,38650,38799,38889,38966,39098,39274,39441,39575,39546,39736,39948,40077,40047,39889,40032,40039,40106,40077,40160,40358,40670,40832,41112,41423,41764,41768,41384,41490,41664,41867,41688,41172,40782,40462,40045,39434,38827,38906,39389,39526,39290,38827,38334,38296,38242,38222,37995,38064,38435,38574,38265,37638,37205,37280,37811,38219,38172,38104,38503,39087,39492,39358,39143,39102,39670,40033,40465,40347,40708,40824,40849,40539,40158,40365,40888,41657,41634,41535,41115,41190,41227,41969,42615,42970,42661,42174,41893,41657,41736,41941,42356,42779,43190,43272,43481,44146,45541
153,51167,1,Brownsville,City,TX,TX,Brownsville-Harlingen,Cameron County,76234,76272,76373,76618,77205,76993,75872,74704,74229,74525,73690,72976,71811,71639,71101,70459,69104,68741,69492,70282,70790,70655,70833,70533,70728,70989,71816,72440,73597,74227,74566,74313,73999,73775,73921,74205,74384,73498,72732,71844,70618,69088,67524,66909,66040,65070,63592,62684,62154,62058,61592,60987,60971,61121,61568,61698,62476,63116,63805,63981,63725,63553,63244,63625,63920,64681,64984,65111,64568,64075,63772,63652,63194,63034,63128,63680,63524,62927,62216,61304,60532,60156,60354,60559,60809,60422,60054,59007,58353,58038,58004,58540,59195,59810,59839,59687,60420,60979,61291,60991,61249,61450,61563,61050,60521,59810,59526,60074,60863,62202,62939,63808,64182,64812,65306,65921,66365,66789,66954,66389,65054,63363,62152
161,31821,1,Grand Prairie,City,TX,TX,Dallas-Fort Worth-Arlington,Dallas County,57241,56811,55703,55194,54302,53825,52752,51830,51041,50709,50051,49307,48674,48086,47737,46969,46660,46232,46255,46403,46602,46420,46325,46072,46605,47494,48593,48928,48844,48995,49256,49910,50053,50856,51303,52054,51853,51464,50711,50723,51161,51444,52098,52468,53381,53348,53564,53095,53140,53428,54246,55137,55493,55981,55894,55799,55708,56272,57277,58980,59989,60370,60192,60403,60996,61602,62183,63005,63846,64924,65348,65453,65955,67526,69549,71315,72752,73978,75596,76567,77463,77450,78077,78843,79719,79800,80298,80784,81633,82265,82832,83869,84800,86344,87735,88976,90464,91613,92268,92188,92505,92833,93164,93581,94007,95294,96939,100003,102357,104830,106063,107950,109461,111886,114251,116445,118816,120341,121576,121668,122297,123284,125584
178,5424,1,Killeen,City,TX,TX,Killeen-Temple,Bell County,46497,47190,47674,47896,47785,47323,46511,45812,45134,44598,44412,44109,43843,43569,43981,44422,45148,45801,46699,47248,48215,49032,49329,49332,49869,50742,50746,49994,48933,48297,47852,47127,46269,45947,46563,46941,46961,46871,47676,48907,50390,51646,53064,54926,57014,58210,58111,58315,58397,58858,58565,58568,58519,58899,58900,59689,59450,59633,59406,59601,59912,60071,60085,60360,60642,61105,61098,60148,59623,59144,60203,61101,62363,63041,64156,64115,64243,63318,62834,62469,63047,63726,63290,62750,61782,61589,61162,62114,62684,63288,63614,63681,62899,62318,62534,62648,62521,61746,61251,59670,58023,57002,57092,57672,58506,58685,58347,58624,59269,60286,60127,60132,60608,61143,60896,60413,59993,60041,60359,60287,60145,59893,60505
187,41114,1,Sugar Land,City,TX,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,212721,214502,216879,218827,219349,219731,219045,218330,217297,216092,215111,214102,212629,210343,207825,205446,204113,203186,201901,200640,200012,200785,201695,201555,199963,198915,197567,196779,197554,197803,199520,200042,202315,203754,205812,208061,211216,213707,215819,217148,217403,217701,217993,219927,221278,223327,221662,219739,217526,218372,220047,221960,221927,221331,218859,216697,213713,211761,212433,213810,215096,215447,216489,217499,219161,222087,226385,230755,235186,237976,239383,239071,240002,239830,239618,239084,240260,241846,241781,239818,237569,234994,234715,234348,233197,232711,231522,231066,230515,229814,229828,228895,228232,229776,230907,234979,238091,239583,238852,238156,238989,238403,240044,241562,242947,241806,239391,237651,236753,236374,237768,238288,238946,239912,239079,239124,239166,240193,242007,241984,241888,242018,241986
192,32783,1,McKinney,City,TX,TX,Dallas-Fort Worth-Arlington,Collin County,144953,146361,146758,147168,146941,147209,146314,146112,145505,145505,144264,143786,142876,142017,140877,139686,139081,138886,138681,138409,137605,137426,137598,137169,136765,137055,137631,138313,138600,138553,138914,138068,138195,137386,137397,137304,138038,138517,140185,141895,143858,145394,146866,149873,152507,155618,157960,160564,162884,165378,166937,168311,169026,169960,170730,171241,172149,172839,173752,174369,175344,176292,177626,178868,180764,183401,186136,187749,188498,190054,192520,195344,197689,200133,202563,204596,207175,209033,211324,213292,216220,218098,220380,222735,225064,226076,226132,228232,230101,233003,234787,237885,239691,242198,243125,244235,243090,243361,244125,246008,246553,246516,246373,246497,246508,246559,246515,246632,247547,248658,249742,249476,249881,250351,251390,251706,252584,253288,254711,255892,257577,258723,259888
199,6286,1,Odessa,City,TX,TX,Odessa,Ector County,132681,130369,129522,130973,133197,133996,132637,131764,131220,131852,131453,132864,133984,134518,133546,132460,131718,132285,132709,133171,133299,133272,132444,131148,130309,130778,131369,132068,132829,132424,131628,128900,126490,125085,126868,129022,130226,130382,130682,130348,129228,128997,129492,131050,133392,136459,138586,139787,141965,144100,144572,143261,142185,142762,142984,144428,143121,140304,134487,129438,124759,120969,119261,118506,119267,118563,120078,119593,120748,121450,124263,126207,126637,126286,125204,125841,124750,123952,120132,118980,118400,119113,119834,121742,125513,128523,130836,130997,131458,132020,133613,132903,130901,128794,128054,127328,125933,125965,127179,129078,130049,130522,131293,133945,135927,136296,133902,131691,131337,131883,132775,133171,133858,134412,134725,133997,133937,134625,136533,137935,137742,136169,133783
202,19360,1,Midland,City,TX,TX,Midland,Midland County,71185,70209,69522,68705,67835,66724,65620,64449,63955,64264,64464,64424,64211,64420,64321,63833,63391,63390,64362,66037,67434,67781,67183,66640,66507,66621,66953,67867,68427,69121,68810,68458,67714,68311,69825,71796,72823,73604,74487,75819,77898,79257,81142,81824,83377,83329,83741,83612,84792,85955,87580,88121,88592,89324,91106,92983,93783,94461,95142,96767,97728,98567,97997,97699,97635,98564,97834,97377,96943,97834,97438,95603,93335,91115,89576,89174,88464,87488,86116,86334,87717,88675,89659,90290,90979,91385,92501,92959,93345,92844,93810,93548,92498,91521,91672,93872,96286,98826,99247,99837,100000,101914,103471,105490,108092,110327,112152,113377,115703,117547,118625,118304,118937,119451,119390,119073,118336,117837,116928,115320,112621,110051,108796
206,41324,1,Tyler,City,TX,TX,Tyler,Smith County,91858,93271,93805,93607,92735,91745,90917,90470,90715,91212,91821,90617,89708,89096,89447,89397,89589,89645,89339,88462,87818,87392,86120,85699,85611,85992,86014,85924,86207,86660,87311,87887,87947,87767,88185,89249,90222,91158,91674,92430,92501,92661,92652,92698,92722,93506,94331,94140,92821,91131,90088,89384,89092,88826,88840,89094,88925,88347,88058,88645,89436,90541,91475,92305,92628,92637,92893,93183,94328,95496,96508,96962,97630,97736,98132,98574,99589,100352,100823,101199,101900,102696,103138,103197,104133,105316,106637,107517,109482,112108,114470,116478,117414,117458,117840,119290,119671,119820,118353,118948,118693,118391,118818,118896,119759,119619,119376,118117,117268,118069,119831,120453,119695,119361,118662,118400,117918,118546,119103,119949,120664,120110,119471
209,38119,1,Cypress,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,83279,82383,82490,82944,84460,84747,84461,84050,84105,85001,85183,85167,84904,84869,83920,83314,82746,83006,82951,82531,81570,80533,79271,78761,78003,77975,77875,77710,77183,77008,77659,78626,79708,80328,81404,81995,83087,84283,85892,87624,88935,89488,89732,89624,89973,90837,92185,93477,94941,95777,96550,96405,96945,98144,99338,101257,102005,102634,102333,102575,102522,102398,102760,103956,104482,104522,104240,104060,105304,107023,108515,109019,109335,110225,110724,110869,111863,113267,115050,115710,115391,114303,114212,115011,116245,116745,117011,116981,117322,117260,118001,118764,119919,121267,122397,123462,124019,125288,125620,127150,126858,127926,127401,128153,128807,128849,129043,128828,129924,130917,132410,132826,133817,134336,135568,135976,136333,137155,137673,138310,137995,137454,136950
210,26857,1,Round Rock,City,TX,TX,Austin-Round Rock,Williamson County,138326,139086,139440,138366,137401,136874,136446,136182,135686,135417,135144,133973,132119,129635,128474,127991,127362,126220,125817,125657,125838,125600,125535,125776,126081,126712,127347,127931,128712,129393,129905,130030,129994,130251,130539,131362,132702,133923,134886,135720,136751,137926,139219,140757,142180,143537,144935,146161,146613,147419,148325,149210,149866,150361,150865,151325,151982,153056,153857,154827,156410,157724,159005,160553,162336,164198,165432,166717,167782,168550,169256,170297,171056,172287,173166,174208,175199,176260,178201,180057,182393,184057,185898,186816,188148,189077,190200,191086,191463,192840,193488,194988,195610,197438,199722,201957,202953,203014,203329,204435,205201,205680,205311,205786,206499,209340,210952,212607,211978,213199,214389,216221,217649,218680,220478,221076,221745,220135,219090,218086,219267,219348,219042
217,4521,1,Edinburg,City,TX,TX,McAllen-Edinburg-Mission,Hidalgo County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50018,50191,50067,50025,49314,48499,47448,46727,46024,45341,44825,44489,44461,44207,43969,43311,43410,43702,44372,44623,44994,45436,45889,46252,46261,46037,45944,46358,47128,48242,49494,51247,52634,53791,53885,53471,52918,52708,52736,52818,53335,53656,53842,53484,53431,53556,54317,55391,56606,57780,58789,59702,60155
218,44734,1,Conroe,City,TX,TX,Houston-The Woodlands-Sugar Land,Montgomery County,142717,142310,140592,139575,138497,138254,137151,136315,135839,135146,134890,133933,134040,133262,133864,133047,132660,132278,132267,131721,131551,132143,132614,132633,131958,132351,132182,132958,133912,134054,134905,135799,136127,135634,135530,136981,139202,140719,141882,141957,141609,141602,141595,141408,141042,140542,141239,141862,141914,141254,140456,140723,141610,143244,143902,144500,145010,146535,146614,145987,145201,145642,147502,150321,152752,154299,155422,158362,162446,166265,168931,170616,172997,174987,176615,176748,177391,178557,180745,180051,178683,177175,178681,181629,184316,187544,189661,191161,192364,192925,194058,195728,197980,200528,202857,203567,201842,198375,196924,197929,199169,200197,201310,203016,204174,203878,203837,204995,208027,211342,214347,217017,219004,220807,221831,222446,223048,224432,224717,224159,222976,222007,220157
223,19865,1,Pasadena,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,53098,53448,53566,53446,53396,53357,53015,52557,52081,52159,52011,51840,51294,50504,49613,49069,48731,48508,48503,49106,49495,49560,49212,49212,49528,49707,49821,49492,49300,49264,49452,49046,48816,48619,48902,48807,48692,48771,49385,50283,51251,51828,52446,53030,53705,54204,54402,54640,55057,55593,55669,55556,55150,55191,54995,55322,55341,55567,55862,56293,56220,55969,55704,55809,55884,55886,55945,56307,56900,57295,57239,56953,57339,58100,59239,59954,60719,61318,61969,62047,62127,62637,63561,64710,65031,65170,64898,64958,64974,65363,65729,65705,65346,65044,65610,66193,67002,67444,68206,68832,69231,69402,69656,69972,70720,71104,71398,71537,72160,73132,73469,73586,73906,74562,75147,76023,76737,77658,78152,78765,79073,79380,80171
224,35282,1,Beaumont,City,TX,TX,Beaumont-Port Arthur,Jefferson County,63204,62747,62422,62130,61997,61670,61494,61011,60653,60239,60175,60063,60385,60683,60995,60976,60779,60871,60645,60528,60356,60262,60030,59720,58964,58380,57697,57602,57498,57486,57728,58077,58605,59079,59523,59758,60335,61189,62189,62714,62935,63172,63590,63713,63840,63764,63820,63978,64000,63703,63257,63027,63203,63108,62958,63237,63646,64178,64435,64755,65451,66059,66735,66859,67116,67089,67296,67358,67614,67708,68091,68475,68264,67712,67099,67464,67843,68600,68618,68444,68381,68747,69299,69547,70098,70660,71129,71065,71009,70998,71491,72010,72004,71888,71339,71451,71376,72306,73199,74266,75144,76467,77431,78241,78425,78755,78915,78606,78409,78127,78798,79388,79897,79658,79609,79702,80474,81051,81889,82779,83594,83922,83531
226,18208,1,Frisco,City,TX,TX,Dallas-Fort Worth-Arlington,Collin County,190844,191274,190694,189223,188796,188343,188544,188600,187122,185649,183733,183126,182840,182421,181073,178691,176495,173663,172300,169976,170291,170618,171913,171490,171041,171313,172412,174341,174566,175720,176551,178474,178396,178295,177667,177273,176992,176299,176836,176813,178834,180181,182197,184964,187950,190709,192512,195371,198646,202641,204970,208213,209467,210457,209728,207088,206439,206468,209564,211227,212967,214114,215931,217479,219102,222284,225164,230970,234810,239053,239828,241618,242588,244140,246251,247741,250592,251525,254519,255535,256856,257976,260138,262793,265346,267699,268733,271455,274445,279088,281648,283038,284703,285612,287049,287584,287322,288026,289414,291801,292855,293424,293180,292187,290566,290276,291873,293595,294529,293506,292323,290797,290036,288982,289164,290882,293061,294749,294773,295118,296669,299512,302715
234,12694,1,Mesquite,City,TX,TX,Dallas-Fort Worth-Arlington,Dallas County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53861,54300,54790,55390,56404,57440,58682,59411,60045,61074,62084,63042,63727,64523,65293,66652,67200,67791,67903,69092,70412,71228,72314,73637,75823,77831,79932,82022,84393,86639,89243,91716,94631,96899,98269,99304,99118,99406,99288,99450,99706,100018,100836,101230,101230,101572,102362,103246,104600,105615,106783,107773,108635,109518,109956
241,25818,1,McAllen,City,TX,TX,McAllen-Edinburg-Mission,Hidalgo County,42775,42783,42835,42536,42212,41302,41192,40908,41184,41068,41063,41273,41281,41209,40743,40506,40246,40362,40648,41107,41359,41929,41889,41819,41696,41913,42185,42535,42729,43367,43473,43778,43710,43209,42719,42175,42313,42355,42711,42802,43241,42968,42738,42517,42677,43375,44339,45152,45525,45688,45883,46375,46847,47860,48866,49155,49129,48654,48636,48796,49100,49285,49478,49206,48872,47853,47414,46996,46975,46817,46821,46623,46380,46363,46564,47155,47327,47676,47507,48273,48656,49922,50391,51018,51065,51055,50587,50147,49787,49954,50516,51091,51934,51969,52225,52518,53751,54657,55622,55964,56422,56838,56879,56876,56216,56248,55970,56016,55266,54779,54433,54515,54823,54718,54785,54680,55004,55063,55433,55553,55965,56382,56785
