,RegionID,Bedroom,RegionName,RegionType,StateName,State,Metro,CountyName,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
3027,15143,5,Hereford,City,TX,TX,Hereford,Deaf Smith County,124742,125495,126736,126635,125536,124590,125326,126187,126490,126175,125627,125783,124740,124096,123160,125105,126809,128839,128895,128709,129480,130661,131950,132224,132704,132794,132925,131971,131597,130890,130156,129603,130059,131586,132886,133980,135266,136543,137439,138105,138959,139909,140700,141625,141426,141133,140943,141997,143800,145467,146893,147972,148917,149799,152001,154512,157769,159664,161166,161002,159436,158121,157708,158705,159815,160592,160988,160311,159405,158500,158349,159283,160998,162424,163815,164082,164361,165571,166839,168746,169709,171382,172712,174320,176772,179608,181500,182595,183439,184103,184390,184721,185295,186691,187896,188105,185089,181936,180206,181002,181879,182614,183389,184338,185288,185352,185280,185423,186407,187814,189554,191269,192649,193271,194082,194629,195241,195912,196737,197663,199201,200294,200529
3086,36664,5,Kaufman,City,TX,TX,Dallas-Fort Worth-Arlington,Kaufman County,185554,186579,187446,187507,189484,191735,193925,195991,197329,197332,195932,194082,191258,189625,187813,186956,186711,187115,187490,187085,186655,187553,188135,189162,190507,192447,194295,194957,192840,190416,187801,186729,186176,184925,184792,185032,186370,185570,185145,185747,189229,192331,195655,198564,201107,203172,204001,204739,203885,204673,205383,206252,205694,206463,208633,210766,211834,213223,216049,218632,222342,226383,230433,232717,233263,232643,232684,233727,237176,239756,241761,243537,244691,244830,243959,244480,247355,250708,252964,254436,255983,258050,259697,262010,265441,269935,274699,278915,282509,285907,288815,290509,290951,292318,294967,297328,297970,297746,299676,302664,306114,308396,308822,309469,309099,310304,310931,312305,313914,315710,318021,319967,321910,322837,325549,328597,332638,334464,335815,336191,336731,337062,335539
3093,33015,5,Murphy,City,TX,TX,Dallas-Fort Worth-Arlington,Collin County,324703,324196,323838,324722,325588,326234,325454,323984,322158,320892,319824,319884,319943,320291,320361,319778,320077,320198,321501,322495,323589,324847,325511,325569,325904,327136,328774,331141,332578,333567,333025,332605,333172,334036,335582,337057,338865,340468,342152,342883,344342,346431,349665,353545,356894,359928,362766,366149,368659,370618,371838,374594,376692,379224,381447,383383,385279,387514,390304,392298,395773,399679,405118,408649,412384,415653,418645,421778,424520,427375,429386,432408,434719,437687,439363,440934,441933,442566,444078,446977,449737,452262,453399,454410,455480,455067,453839,454220,456676,460561,463086,462501,462019,461260,462706,463621,463189,464706,468062,471395,471996,470825,469731,469045,467922,468591,469243,471045,471172,471203,469409,468260,467380,467336,467610,468661,469932,469932,469124,467643,468040,467861,468384
3095,30401,5,Bellaire,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,962041,962031,963188,966666,969049,967040,959238,946513,938741,935317,936638,934677,932018,927487,920749,917240,915336,917092,919885,926168,930643,935239,930499,929000,929437,936139,943929,946965,951651,954537,961898,965476,968294,968362,976310,984828,996416,1006421,1021693,1039449,1056003,1069483,1080592,1095669,1111506,1130522,1145263,1158863,1169211,1179914,1183714,1187942,1190141,1198729,1209720,1225008,1239366,1249402,1257592,1267508,1277705,1284463,1294688,1304363,1315360,1322658,1325760,1325264,1325758,1329655,1332992,1331645,1332852,1335575,1336421,1332857,1331630,1331477,1334285,1335189,1335829,1335916,1339053,1344365,1344784,1345500,1346847,1350287,1350909,1351669,1350444,1348771,1346733,1344049,1343445,1343187,1345834,1345557,1344200,1345718,1347122,1346691,1346082,1347710,1352296,1353977,1357490,1360211,1367648,1370557,1368943,1362910,1358711,1358375,1358266,1356966,1353633,1352806,1349055,1345420,1337786,1334731,1335388
3116,38162,5,Decatur,City,TX,TX,Dallas-Fort Worth-Arlington,Wise County,348152,347538,347263,347024,347736,348494,348180,348117,348342,348624,348361,347555,347191,346955,346596,345932,345409,344673,343415,341322,341345,343701,346572,347495,347278,347179,348664,348696,349070,349687,351401,353703,354421,354473,354444,355403,356746,357901,358140,360041,361719,363444,364808,366305,367847,369016,370522,372555,374199,376381,377969,379949,380883,382622,384589,385156,385672,385265,386338,386722,387763,388217,389165,389629,390783,391469,391076,392300,393357,395939,396859,398775,402773,406536,410394,412398,414741,416366,417966,419212,422025,424208,425807,427213,425357,426035,425466,428138,430297,434058,439682,444840,446823,448598,450765,453581,456333,457135,460024,463302,467712,471324,472474,472539,473344,477060,482564,487777,491176,493002,493465,492796,492302,491945,492659,494690,497689,498791,498623,498498,500664,504688,509229
3173,16373,5,Buda,City,TX,TX,Austin-Round Rock,Hays County,265038,264252,262689,262358,262578,262587,261521,259442,256148,253107,251119,250374,250018,249583,249214,247955,246698,246702,247184,247256,247729,248541,248875,247945,246995,247307,247976,248897,249590,249964,249910,250387,250314,251074,252175,254530,257695,259782,262258,263405,264434,264613,265393,266647,268493,270044,271528,273242,274192,275166,275732,277083,279289,281742,284782,287631,289802,290911,291591,292383,293773,295234,297356,299542,300942,302076,302838,303242,304250,306318,309194,310249,310006,310547,310808,311169,311081,311659,311969,312363,313498,314613,314908,316090,317967,319321,320894,323044,326805,328836,330524,331063,331024,330146,329994,330556,331840,333500,334210,334452,332976,333537,333924,336028,335883,335910,335613,336030,336609,337497,338148,338251,338000,338148,338666,338429,340027,341930,343947,345053,345677,346086,347243
3187,19770,5,Orange,City,TX,TX,Beaumont-Port Arthur,Orange County,185058,186199,186324,185383,184777,184750,184877,184713,184932,185150,185581,185150,184351,184450,184850,185290,184939,184580,184542,184193,183791,183642,183438,183699,182370,181183,180299,180760,181447,181511,181543,182123,183173,183992,184614,185091,186022,186675,187143,187314,187224,187342,187464,187665,187876,188547,189597,190502,191745,192575,193816,195137,197108,199080,200534,201428,202421,203054,203873,204526,205780,207683,209233,209937,210447,210989,212278,213520,214142,214629,214727,215421,215462,214910,214680,214818,215653,216723,218095,219707,221044,222906,224720,226797,228294,229913,230699,231301,229810,227881,225177,223336,222646,221107,220242,218966,219110,219228,219895,221016,223430,225355,226830,227189,227669,228825,229699,230481,230729,231700,232105,232381,231914,232233,233158,234481,235187,235655,236010,236569,236997,236902,237133
3190,54472,5,South Houston,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,123156,123868,124744,124970,124805,124063,122942,121873,121480,121363,121403,121363,120839,120136,119019,118707,118451,118440,118176,118324,118139,118377,117661,117008,116732,116989,117499,117309,117447,117879,118520,118503,118478,118019,118329,118343,118751,119018,120110,121281,122466,122916,123655,124558,125525,126246,127004,128089,129208,130444,130851,131058,130948,131851,133068,134496,135817,137387,138802,140142,141012,141818,143228,144930,146643,147302,147503,146963,146514,146346,146968,147752,148889,149878,150500,150956,151867,153326,154801,157730,160779,163780,165449,166882,167846,168742,169689,170834,171553,172473,173214,173738,174264,174979,175970,176965,177768,178894,179988,181422,182321,182648,183103,183439,184371,185022,186636,188636,191407,193210,193721,193704,194386,195934,197439,198832,199738,200813,201284,201526,201376,201866,203406
3278,11932,5,Hockley,City,TX,TX,Houston-The Woodlands-Sugar Land,Harris County,231671,230989,231035,231028,231476,231039,229941,227614,226483,226162,227052,228198,228106,228076,226805,226587,225952,226364,226348,226890,226715,226980,226309,226080,226064,226561,227348,227678,227952,228273,229804,230942,231722,231677,232737,234216,236802,239487,242695,245331,248089,250038,251702,254023,256939,259745,261605,262846,265333,267379,269473,270782,273314,277348,282194,285804,288501,291566,295893,300815,301146,301517,301548,305144,307415,308438,307953,307763,308425,309418,310140,310344,313211,315395,317138,316769,316859,316689,317191,318101,319529,320212,320929,321813,322291,323235,324199,325167,325247,325765,325280,325132,324709,325074,324478,323487,322922,322783,323176,323768,325487,326653,328316,330264,332811,334868,335513,336302,337194,339125,340320,341454,341800,342633,343522,343961,343953,344098,345829,347631,349137,349567,350316
3285,19991,5,Pleasanton,City,TX,TX,San Antonio-New Braunfels,Atascosa County,202329,199134,198122,197532,196853,197697,196829,197689,195120,194392,193345,193971,196332,196965,198753,198450,200479,201094,202162,202822,205222,208292,210352,210741,209958,211086,211785,212352,211346,210430,211186,212090,212396,210411,208693,209370,211687,214697,217115,219512,220680,223341,224495,225122,224069,224193,227050,228585,229683,226855,224722,223232,224195,224886,226548,229694,233892,238578,238529,240521,238552,241233,240946,243424,245205,247440,248870,249296,251593,253301,257249,258451,263276,265982,269791,270704,272731,275594,278979,281974,284896,287340,289790,291574,294888,298069,304148,310543,314230,316778,317940,320135,320322,322556,326329,331256,334247,337928,339173,338873,339527,339591,341595,340773,339653,339810,342472,345689,344274,338210,331152,325618,320818,317598,313223,310324,308500,304983,299061,292483,289522,289495,290634
