,Real,Predicted Rent
2017-10,1795.0,1809.0071
2017-11,1753.0,1813.6709
2017-12,1786.0,1817.6588
2018-01,1799.0,1820.9507
2018-02,1779.5,1823.8005
2018-03,1850.0,1826.9581
2018-04,1799.0,1830.437
2018-05,1810.0,1834.3304
2018-06,1850.0,1838.1809
2018-07,1850.0,1842.16
2018-08,1850.0,1846.379
2018-09,1885.0,1850.8707
2018-10,1828.0,1856.0333
2018-11,1865.0,1861.6044
2018-12,1845.0,1867.3381
2019-01,1826.0,1872.7303
2019-02,1810.0,1877.7406
2019-03,1825.0,1882.4015
2019-04,1830.0,1886.7021
2019-05,1850.0,1890.737
2019-06,1850.0,1894.5778
2019-07,1810.0,1898.1074
2019-08,1816.0,1901.2827
2019-09,1789.5000000000002,1904.1151
2019-10,1759.0,1906.5609
2019-11,1731.0,1909.0114
2019-12,1702.5,1911.1617
