,Real,Predicted Rent
2017-07,1118.5,1101.4625
2017-08,1104.0,1101.9384
2017-09,1100.0,1102.6033
2017-10,1099.0,1103.5557
2017-11,1086.0,1104.5525
2017-12,1099.0,1105.2595
2018-01,1128.0,1105.6482
2018-02,1130.0,1106.0387
2018-03,1168.0,1106.5615
2018-04,1185.0,1107.2518
2018-05,1199.0,1107.8638
2018-06,1205.0,1108.4792
2018-07,1205.0,1109.0388
2018-08,1202.0,1109.5835
2018-09,1210.0,1110.0516
2018-10,1220.0,1110.4302
2018-11,1225.0,1110.8156
2018-12,1228.0,1111.4238
2019-01,1225.0,1112.3267
2019-02,1275.0,1113.2057
2019-03,1325.0,1113.937
2019-04,1278.0,1114.364
2019-05,1319.0,1114.9314
2019-06,1350.0,1115.3671
2019-07,1350.0,1116.1316
2019-08,1349.0,1116.8947
2019-09,1350.0,1117.6797
2019-10,1350.0,1117.9994
2019-11,1345.0,1118.2532
2019-12,1345.0,1118.4589
