Date,Real,Predicted
2017-03-31,105714.0,94502.72
2017-04-30,106440.0,94716.055
2017-05-31,107245.99999999999,94945.336
2017-06-30,107789.0,95198.69
2017-07-31,107627.0,95368.57
2017-08-31,107498.0,95317.96
2017-09-30,106436.0,95277.61
2017-10-31,106131.0,94944.07
2017-11-30,105924.0,94847.87
2017-12-31,106839.00000000001,94782.48
2018-01-31,107570.0,95070.92
2018-02-28,108003.0,95300.13
2018-03-31,107619.0,95435.336
2018-04-30,107192.99999999999,95315.46
2018-05-31,107196.0,95182.07
2018-06-30,108030.0,95183.01
2018-07-31,109281.00000000001,95443.75
2018-08-31,110841.99999999999,95831.64
2018-09-30,112031.0,96309.47
2018-10-31,112946.00000000001,96668.27
2018-11-30,113352.0,96941.086
2018-12-31,114497.0,97061.17
2019-01-31,116048.0,97396.51
2019-02-28,118153.00000000001,97842.54
2019-03-31,119773.0,98431.98
2019-04-30,121104.00000000001,98872.555
2019-05-31,122335.00000000001,99225.79
2019-06-30,122951.99999999999,99545.35
2019-07-31,123526.00000000001,99702.93
2019-08-31,123791.99999999999,99847.96
2019-09-30,124861.0,99914.66
2019-10-31,125668.99999999999,100179.42
2019-11-30,126817.0,100376.07
2019-12-31,126739.00000000001,100650.336
2020-01-31,126353.0,100631.9
2020-02-29,125649.00000000001,100540.21
