,Real,Predicted
2017-03-31,140489.0,108407.62
2017-04-30,140903.0,108512.984
2017-05-31,142342.0,108589.3
2017-06-30,143446.0,108854.05
2017-07-31,144331.0,109056.53
2017-08-31,145144.0,109218.42
2017-09-30,144994.0,109366.79
2017-10-31,145216.0,109339.44
2017-11-30,146063.0,109379.91
2017-12-31,148098.0,109534.05
2018-01-31,150422.0,109902.63
2018-02-28,152594.0,110320.23
2018-03-31,154829.0,110706.94
2018-04-30,156753.0,111100.95
2018-05-31,158400.0,111436.72
2018-06-30,160376.0,111721.48
2018-07-31,162514.0,112059.73
2018-08-31,164578.0,112421.336
2018-09-30,166884.0,112765.95
2018-10-31,167863.0,113145.586
2018-11-30,169827.0,113304.98
2018-12-31,171030.0,113621.5
2019-01-31,173307.0,113813.2
2019-02-28,174764.0,114171.42
2019-03-31,176157.0,114397.44
2019-04-30,177289.0,114611.15
2019-05-31,178200.0,114783.09
2019-06-30,178871.0,114920.34
2019-07-31,179664.0,115020.79
2019-08-31,180267.0,115138.77
2019-09-30,181211.0,115227.99
2019-10-31,182850.0,115366.75
2019-11-30,183271.0,115605.06
2019-12-31,183421.0,115665.74
2020-01-31,182480.0,115687.305
2020-02-29,182494.0,115551.55
