,Real,Predicted
2017-03-31,126955.0,127090.29
2017-04-30,127364.0,127111.52
2017-05-31,127581.0,127157.58
2017-06-30,128364.0,127182.33
2017-07-31,128586.0,127273.336
2017-08-31,128783.0,127299.61
2017-09-30,128688.0,127323.086
2017-10-31,128799.0,127311.74
2017-11-30,128896.0,127325.01
2017-12-31,127973.0,127336.63
2018-01-31,127274.0,127227.56
2018-02-28,126860.0,127147.38
2018-03-31,127154.0,127100.945
2018-04-30,127252.0,127133.836
2018-05-31,127102.0,127144.89
2018-06-30,126523.0,127127.99
2018-07-31,126021.0,127063.74
2018-08-31,125603.0,127009.36
2018-09-30,125738.0,126965.03
2018-10-31,126621.0,126979.25
2018-11-30,127948.0,127074.51
2018-12-31,129380.0,127224.65
2019-01-31,130612.0,127395.18
2019-02-28,131000.0,127547.94
2019-03-31,131566.0,127597.05
2019-04-30,132194.0,127669.44
2019-05-31,133513.0,127750.68
2019-06-30,134890.0,127923.89
2019-07-31,136406.0,128107.22
2019-08-31,137740.0,128310.27
2019-09-30,138733.0,128488.52
2019-10-31,139029.0,128620.195
2019-11-30,139074.0,128659.2
2019-12-31,139487.0,128665.12
2020-01-31,139996.0,128719.29
2020-02-29,141049.0,128785.65
