,Real,Predicted
2017-03-31,268801.0,266671.9
2017-04-30,268947.0,267791.56
2017-05-31,270406.0,267556.2
2017-06-30,272737.0,267478.62
2017-07-31,274970.0,268349.34
2017-08-31,276968.0,270342.47
2017-09-30,278408.0,272850.7
2017-10-31,277671.0,275169.22
2017-11-30,276510.0,276881.47
2017-12-31,274999.0,277416.47
2018-01-31,276041.0,276334.47
2018-02-28,277414.0,275182.38
2018-03-31,279132.0,274739.06
2018-04-30,280203.0,276113.56
2018-05-31,280970.0,277751.16
2018-06-30,282002.0,279357.66
2018-07-31,283388.0,280470.44
2018-08-31,284153.0,281525.75
2018-09-30,284639.0,282807.72
2018-10-31,284696.0,284072.03
2018-11-30,284585.0,284767.44
2018-12-31,284592.0,285099.88
2019-01-31,284770.0,285098.97
2019-02-28,285839.0,285050.16
2019-03-31,286584.0,285258.56
2019-04-30,287228.0,285861.94
2019-05-31,288029.0,286936.84
2019-06-30,288023.0,287779.38
2019-07-31,287779.0,288506.4
2019-08-31,287894.0,289015.75
2019-09-30,288324.0,288937.78
2019-10-31,289853.0,288870.62
2019-11-30,291474.0,289306.56
2019-12-31,293036.0,290371.12
2020-01-31,293396.0,292215.2
2020-02-29,293304.0,293948.8
