,Real,Predicted Rent
2017-05,1117.0,1035.0413
2017-06,1150.0,1036.3145
2017-07,1118.5,1037.3944
2017-08,1104.0,1037.8177
2017-09,1100.0,1038.0988
2017-10,1099.0,1038.4559
2017-11,1086.0,1039.2848
2017-12,1099.0,1039.9396
2018-01,1128.0,1040.6825
2018-02,1130.0,1041.3275
2018-03,1168.0,1042.0376
2018-04,1185.0,1042.6987
2018-05,1199.0,1043.1555
2018-06,1205.0,1043.3749
2018-07,1205.0,1043.7224
2018-08,1202.0,1044.8308
2018-09,1210.0,1046.0804
2018-10,1220.0,1047.4211
2018-11,1225.0,1047.7712
2018-12,1228.0,1048.7032
2019-01,1225.0,1048.8372
2019-02,1275.0,1049.8568
2019-03,1325.0,1050.8251
2019-04,1278.0,1052.5419
2019-05,1319.0,1053.0889
2019-06,1350.0,1053.5192
2019-07,1350.0,1053.6871
2019-08,1349.0,1054.1221
2019-09,1350.0,1054.515
2019-10,1350.0,1054.802
2019-11,1345.0,1055.6251
2019-12,1345.0,1055.9994
