,Real,Predicted
2017-04-30,118079.0,117355.51
2017-05-31,117894.0,117726.68
2017-06-30,118687.0,117904.96
2017-07-31,120321.99999999999,118036.25
2017-08-31,122064.00000000001,118233.22
2017-09-30,122985.0,118344.305
2017-10-31,123534.0,118583.414
2017-11-30,123878.0,119071.89
2017-12-31,124952.0,119861.98
2018-01-31,126105.0,120704.65
2018-02-28,126746.0,121364.92
2018-03-31,127455.0,121779.15
2018-04-30,127687.0,122126.34
2018-05-31,128206.0,122493.016
2018-06-30,128482.0,122943.92
2018-07-31,128146.0,123313.35
2018-08-31,128009.0,123551.164
2018-09-30,127735.0,123737.89
2018-10-31,127903.0,123834.19
2018-11-30,128601.0,123919.29
2018-12-31,128888.00000000001,123920.695
2019-01-31,129285.0,123856.96
2019-02-28,129402.0,123854.26
2019-03-31,129934.00000000001,123896.14
2019-04-30,130928.99999999999,124044.164
2019-05-31,131370.0,124242.05
2019-06-30,131841.0,124382.59
2019-07-31,132320.0,124539.54
2019-08-31,132569.0,124700.086
2019-09-30,133194.0,124929.055
2019-10-31,133599.0,125167.29
2019-11-30,133697.0,125321.22
2019-12-31,133814.0,125468.69
2020-01-31,133811.0,125601.45
2020-02-29,134118.0,125711.97
